"","customer.number","customer.package","lifetime.value","pref.payment.type","last.order.time","last.order.value","place.of.residence","terminate"
"1",10000,"standard",59517.54,"credit card",3,147.58,"NEL",FALSE
"2",10001,"standard",70593.15,"PayPal",123,167.45,"LUX",FALSE
"3",10002,"standard",64485.46,"credit card",31,344.27,"LUX",FALSE
"4",10003,"prime",70729.18,"credit card",12,339.94,"GER",TRUE
"5",10004,"standard",67534.26,"PayPal",108,327.72,"GER",TRUE
"6",10005,"standard",66558.64,"credit card",68,358.45,"POL",TRUE
"7",10006,"standard",85682.08,"PayPal",27,205.9,"LUX",FALSE
"8",10007,"standard",82481.03,"PayPal",34,126,"POL",TRUE
"9",10008,"standard",47172.77,"credit card",67,45.58,"AUT",FALSE
"10",10009,"standard",59989.8,"bank account",30,346.29,"LUX",FALSE
"11",10010,"standard",55237.23,"credit card",68,44.83,"GER",FALSE
"12",10011,"prime",79642.12,"credit card",35,126,"BEL",FALSE
"13",10012,"standard",61199.17,"credit card",50,264.45,"AUT",FALSE
"14",10013,"standard",76932.81,"PayPal",12,126,"POL",FALSE
"15",10014,"student",84469.49,"bank account",62,506.33,"GER",TRUE
"16",10015,"prime",72804.89,"credit card",53,626.02,"POL",FALSE
"17",10016,"prime",83037.14,"credit card",23,332.59,"AUT",FALSE
"18",10017,"prime",73502.56,"PayPal",165,194.17,"LUX",TRUE
"19",10018,"prime",64314.43,"PayPal",107,126,"NEL",FALSE
"20",10019,"standard",59285.71,"PayPal",99,270.6,"POL",FALSE
"21",10020,"prime",54106.94,"credit card",77,439.63,"AUT",FALSE
"22",10021,"prime",65298.22,"PayPal",59,567.38,"AUT",FALSE
"23",10022,"standard",71747.47,"bank account",40,282.92,"GBR",FALSE
"24",10023,"prime",75248.32,"credit card",64,218.52,"LUX",FALSE
"25",10024,"prime",71119.73,"credit card",67,322.67,"POL",FALSE
"26",10025,"standard",60930.98,"credit card",12,298.37,"BEL",TRUE
"27",10026,"standard",74169.77,"credit card",16,366.97,"GBR",FALSE
"28",10027,"standard",66618.92,"credit card",53,126,"LUX",FALSE
"29",10028,"prime",51697.3,"credit card",69,276.33,"LUX",FALSE
"30",10029,"standard",67113.34,"PayPal",88,489.48,"POL",FALSE
"31",10030,"standard",63457.86,"bank account",157,227.83,"GBR",FALSE
"32",10031,"prime",76072.77,"credit card",47,129.65,"GBR",FALSE
"33",10032,"standard",54147.91,"credit card",12,158.59,"GER",FALSE
"34",10033,"prime",83891.06,"PayPal",88,5.37,"POL",FALSE
"35",10034,"standard",76463.34,"credit card",98,284.41,"NEL",FALSE
"36",10035,"prime",77665.63,"credit card",54,142.15,"NEL",FALSE
"37",10036,"standard",72148.73,"PayPal",76,320.6,"POL",FALSE
"38",10037,"standard",75976.17,"PayPal",41,441.79,"GER",FALSE
"39",10038,"standard",69799.2,"credit card",19,14.12,"LUX",FALSE
"40",10039,"standard",60328.56,"PayPal",12,238.95,"POL",FALSE
"41",10040,"standard",71796.8,"PayPal",12,219.51,"AUT",FALSE
"42",10041,"prime",74044.64,"PayPal",61,186.22,"POL",FALSE
"43",10042,"standard",74156.97,"bank account",68,209.07,"GER",FALSE
"44",10043,"prime",68060.01,"bank account",46,321.39,"AUT",FALSE
"45",10044,"prime",57433.82,"credit card",46,349.48,"POL",FALSE
"46",10045,"prime",85703.06,"PayPal",24,284.34,"LUX",FALSE
"47",10046,"standard",73200.87,"credit card",87,356.65,"POL",FALSE
"48",10047,"prime",67971.76,"PayPal",99,126,"GBR",FALSE
"49",10048,"standard",80413.4,"credit card",16,98.73,"NEL",TRUE
"50",10049,"prime",72878.77,"PayPal",45,259.66,"AUT",TRUE
"51",10050,"standard",74075.64,"PayPal",6,452.05,"POL",FALSE
"52",10051,"standard",58376.55,"PayPal",52,269.01,"NEL",TRUE
"53",10052,"standard",60333.13,"credit card",79,137.21,"AUT",FALSE
"54",10053,"student",67531.72,"credit card",20,149.8,"POL",FALSE
"55",10054,"standard",71473.36,"credit card",61,382.76,"LUX",FALSE
"56",10055,"standard",74328.71,"credit card",22,126,"NEL",FALSE
"57",10056,"prime",74872.41,"credit card",12,269.74,"POL",FALSE
"58",10057,"student",59973.22,"bank account",75,174.61,"GBR",TRUE
"59",10058,"prime",75096.09,"credit card",15,68.05,"GBR",FALSE
"60",10059,"standard",76235.13,"credit card",12,104.75,"AUT",FALSE
"61",10060,"prime",77692.71,"credit card",46,126,"AUT",FALSE
"62",10061,"standard",82967.61,"PayPal",12,328.71,"LUX",TRUE
"63",10062,"prime",66951.12,"credit card",10,126,"NEL",FALSE
"64",10063,"student",63688.82,"credit card",59,199.24,"GBR",TRUE
"65",10064,"standard",83640.84,"PayPal",30,404.25,"GBR",FALSE
"66",10065,"standard",61847.85,"bank account",68,480.67,"LUX",FALSE
"67",10066,"prime",65036.42,"PayPal",73,391.37,"BEL",FALSE
"68",10067,"standard",74152.31,"PayPal",89,301.67,"NEL",FALSE
"69",10068,"student",73998.72,"credit card",102,406.93,"BEL",FALSE
"70",10069,"student",87722.7,"bank account",124,76.44,"GBR",FALSE
"71",10070,"standard",95659.26,"bank account",94,135.88,"GER",FALSE
"72",10071,"prime",63340.65,"credit card",16,282.01,"BEL",FALSE
"73",10072,"standard",66868.1,"bank account",42,91.97,"NEL",FALSE
"74",10073,"standard",70511.65,"credit card",38,456.14,"GER",FALSE
"75",10074,"standard",77343.9,"credit card",30,269.88,"GER",FALSE
"76",10075,"prime",69976.13,"credit card",80,227.97,"NEL",FALSE
"77",10076,"standard",64023.28,"PayPal",44,160.18,"AUT",FALSE
"78",10077,"standard",64376.45,"credit card",29,211.81,"GER",FALSE
"79",10078,"standard",83846.51,"PayPal",39,406.6,"GBR",FALSE
"80",10079,"student",64626.89,"PayPal",121,347.65,"AUT",TRUE
"81",10080,"standard",52089.01,"credit card",60,194.64,"NEL",TRUE
"82",10081,"standard",68837.35,"credit card",12,109.14,"AUT",FALSE
"83",10082,"standard",66719.1,"credit card",58,247.26,"GER",FALSE
"84",10083,"standard",80074.99,"bank account",90,443.81,"LUX",FALSE
"85",10084,"standard",84493.13,"PayPal",36,222.63,"POL",FALSE
"86",10085,"prime",50723.9,"credit card",12,55.41,"POL",FALSE
"87",10086,"prime",74626.59,"credit card",81,287.23,"GER",TRUE
"88",10087,"prime",75026.82,"PayPal",83,126,"AUT",FALSE
"89",10088,"prime",84073.28,"bank account",77,126,"LUX",FALSE
"90",10089,"prime",77697.82,"credit card",13,358.48,"LUX",FALSE
"91",10090,"standard",68977.25,"credit card",28,205.26,"LUX",TRUE
"92",10091,"prime",65772.17,"credit card",51,66.52,"POL",FALSE
"93",10092,"prime",83064.34,"credit card",24,396.63,"LUX",FALSE
"94",10093,"standard",56441.03,"bank account",6,341.04,"AUT",FALSE
"95",10094,"standard",83071.19,"credit card",47,344.53,"GBR",FALSE
"96",10095,"standard",71672.41,"PayPal",52,459.19,"BEL",FALSE
"97",10096,"prime",66634.35,"bank account",49,202.79,"POL",FALSE
"98",10097,"standard",65711.25,"bank account",12,121.74,"BEL",FALSE
"99",10098,"prime",79780.31,"credit card",36,206.74,"LUX",FALSE
"100",10099,"standard",54986.72,"credit card",70,382.47,"NEL",FALSE
"101",10100,"standard",82925.27,"credit card",30,383.35,"GER",FALSE
"102",10101,"standard",75662.06,"credit card",5,189.73,"NEL",FALSE
"103",10102,"standard",63612.63,"credit card",62,133.2,"LUX",FALSE
"104",10103,"standard",60633.11,"credit card",86,227.27,"GBR",TRUE
"105",10104,"prime",77295.03,"credit card",62,160.03,"NEL",FALSE
"106",10105,"prime",73849.14,"credit card",24,210.5,"NEL",FALSE
"107",10106,"student",74465.95,"PayPal",38,126,"BEL",FALSE
"108",10107,"standard",74423.51,"credit card",55,441.94,"GBR",FALSE
"109",10108,"prime",59965.34,"credit card",62,406.69,"GBR",FALSE
"110",10109,"standard",81385.44,"credit card",95,350.18,"LUX",TRUE
"111",10110,"standard",68204.98,"credit card",125,469.98,"AUT",FALSE
"112",10111,"standard",49830.7,"PayPal",86,21.23,"NEL",TRUE
"113",10112,"standard",92809.38,"bank account",95,240.5,"GER",FALSE
"114",10113,"student",93940.36,"PayPal",105,869.34,"GER",FALSE
"115",10114,"standard",63447.07,"bank account",53,528.58,"GER",FALSE
"116",10115,"standard",79395.38,"bank account",38,344.6,"POL",FALSE
"117",10116,"prime",78858.98,"credit card",10,266.91,"BEL",FALSE
"118",10117,"standard",74868.5,"credit card",12,407.96,"GER",FALSE
"119",10118,"standard",75325.05,"credit card",52,199.16,"GER",FALSE
"120",10119,"standard",74129.27,"credit card",38,126,"NEL",TRUE
"121",10120,"standard",73348.08,"bank account",27,400.95,"LUX",FALSE
"122",10121,"standard",74611.21,"bank account",4,291.52,"BEL",FALSE
"123",10122,"standard",78335.72,"credit card",57,336.14,"LUX",FALSE
"124",10123,"standard",61521.72,"credit card",12,200.92,"POL",FALSE
"125",10124,"standard",77610.65,"PayPal",56,121.41,"NEL",FALSE
"126",10125,"prime",57238.56,"PayPal",20,142.42,"POL",FALSE
"127",10126,"prime",64876.88,"credit card",134,243.16,"GER",FALSE
"128",10127,"standard",58196.26,"credit card",145,81.65,"NEL",FALSE
